DEBUG    | 2024-11-17 22:34:32,211 |    main | Metahit v1.0.0, released at 10/2024
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_49_length_1791_cov_57.424737, Sites: 2, Length: 1791, Signal: 1
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_53_length_1680_cov_1.031192, Sites: 1, Length: 1680, Signal: 0
WARNING  | 2024-11-17 22:55:21,502 |    root | Contig NODE_53_length_1680_cov_1.031192 has zero signal.
DEBUG    | 2024-11-17 22:55:21,502 |    root | Writing contig: NODE_84_length_1142_cov_2.033803, Sites: 1, Length: 1142, Signal: 0
WARNING  | 2024-11-17 22:55:21,502 |    root | Contig NODE_84_length_1142_cov_2.033803 has zero signal.
INFO     | 2024-11-17 22:55:21,503 |    main | Raw contact matrix construction finished for metacc and bin3c
INFO     | 2024-11-17 22:55:21,504 |    main | Begin normalizing raw contacts by NormCC for metacc raw matrix
INFO     | 2024-11-17 22:55:21,514 | MetaCC.Script.normalized_contact | Eliminating systematic biases finished
INFO     | 2024-11-17 22:55:21,514 | MetaCC.Script.normalized_contact | Spurious contact detection finished
INFO     | 2024-11-17 22:55:21,514 |    main | NormCC normalization finished
INFO     | 2024-11-17 22:55:21,515 |    main | MetaCC Normalization results have been saved
